date,matchup,game_id,result,p1_name,p1_pts,p1_reb,p1_ast,p2_name,p2_pts,p2_reb,p2_ast,p3_name,p3_pts,p3_reb,p3_ast,p4_name,p4_pts,p4_reb,p4_ast,p5_name,p5_pts,p5_reb,p5_ast,p6_name,p6_pts,p6_reb,p6_ast,op1_name,op1_pts,op1_reb,op1_ast,op2_name,op2_pts,op2_reb,op2_ast,op3_name,op3_pts,op3_reb,op3_ast,op4_name,op4_pts,op4_reb,op4_ast,op5_name,op5_pts,op5_reb,op5_ast,op6_name,op6_pts,op6_reb,op6_ast
2016-03-15,LAL vs. SAC,21501002,L,Metta World Peace,2.0,2.0,1.0,Julius Randle,14.0,11.0,3.0,Roy Hibbert,3.0,3.0,0.0,Jordan Clarkson,12.0,1.0,1.0,D'Angelo Russell,14.0,3.0,3.0,Tarik Black,6.0,3.0,1.0,Rudy Gay,20.0,8.0,3.0,Willie Cauley-Stein,8.0,7.0,0.0,DeMarcus Cousins,22.0,8.0,3.0,Darren Collison,22.0,1.0,6.0,Rajon Rondo,9.0,6.0,12.0,Omri Casspi,9.0,4.0,1.0
2016-03-13,LAL vs. NYK,21500987,L,Kobe Bryant,14.0,2.0,0.0,Julius Randle,7.0,8.0,1.0,Roy Hibbert,7.0,6.0,0.0,Jordan Clarkson,12.0,3.0,2.0,D'Angelo Russell,4.0,2.0,2.0,Marcelo Huertas,9.0,4.0,2.0,Carmelo Anthony,26.0,12.0,4.0,Derrick Williams,8.0,9.0,1.0,Robin Lopez,16.0,8.0,2.0,Sasha Vujacic,5.0,2.0,1.0,Jose Calderon,9.0,3.0,6.0,Arron Afflalo,9.0,3.0,2.0
2016-03-10,LAL vs. CLE,21500962,L,Kobe Bryant,26.0,5.0,2.0,Julius Randle,15.0,9.0,1.0,Roy Hibbert,4.0,0.0,0.0,Jordan Clarkson,5.0,1.0,1.0,D'Angelo Russell,24.0,4.0,5.0,Brandon Bass,12.0,8.0,2.0,LeBron James,24.0,5.0,7.0,Channing Frye,21.0,7.0,1.0,Tristan Thompson,10.0,14.0,1.0,JR Smith,17.0,2.0,2.0,Kyrie Irving,26.0,2.0,9.0,Matthew Dellavedova,11.0,1.0,1.0
2016-03-08,LAL vs. ORL,21500949,W,Nick Young,0.0,1.0,1.0,Julius Randle,23.0,11.0,1.0,Roy Hibbert,6.0,2.0,3.0,Jordan Clarkson,24.0,5.0,3.0,D'Angelo Russell,27.0,2.0,3.0,Brandon Bass,8.0,5.0,3.0,Evan Fournier,23.0,4.0,3.0,Aaron Gordon,5.0,4.0,3.0,Jason Smith,10.0,2.0,0.0,Victor Oladipo,26.0,4.0,2.0,Elfrid Payton,7.0,2.0,3.0,Dewayne Dedmon,5.0,10.0,0.0
2016-03-06,LAL vs. GSW,21500931,W,Kobe Bryant,12.0,2.0,3.0,Julius Randle,12.0,14.0,2.0,Roy Hibbert,2.0,5.0,0.0,Jordan Clarkson,25.0,4.0,0.0,D'Angelo Russell,21.0,3.0,5.0,Marcelo Huertas,10.0,2.0,9.0,Harrison Barnes,5.0,5.0,0.0,Draymond Green,9.0,10.0,9.0,Andrew Bogut,4.0,7.0,7.0,Klay Thompson,15.0,4.0,2.0,Stephen Curry,18.0,6.0,4.0,Brandon Rush,5.0,4.0,0.0
2016-03-04,LAL vs. ATL,21500921,L,Anthony Brown,7.0,3.0,2.0,Julius Randle,16.0,10.0,2.0,Roy Hibbert,8.0,4.0,3.0,Nick Young,5.0,3.0,2.0,D'Angelo Russell,7.0,2.0,5.0,Marcelo Huertas,10.0,2.0,3.0,Kent Bazemore,10.0,5.0,4.0,Paul Millsap,11.0,4.0,3.0,Al Horford,8.0,5.0,5.0,Kyle Korver,15.0,5.0,3.0,Jeff Teague,12.0,4.0,8.0,Kris Humphries,14.0,8.0,0.0
2016-03-02,LAL @ DEN,21500906,L,Kobe Bryant,5.0,2.0,1.0,Julius Randle,17.0,7.0,1.0,Roy Hibbert,8.0,2.0,0.0,Jordan Clarkson,13.0,3.0,0.0,D'Angelo Russell,24.0,1.0,6.0,Brandon Bass,11.0,1.0,1.0,JaKarr Sampson,6.0,4.0,0.0,Kenneth Faried,10.0,3.0,1.0,Nikola Jokic,14.0,6.0,3.0,Gary Harris,16.0,3.0,2.0,Emmanuel Mudiay,22.0,4.0,7.0,Darrell Arthur,5.0,3.0,0.0
2016-03-01,LAL vs. BKN,21500896,W,Anthony Brown,2.0,3.0,2.0,Julius Randle,14.0,13.0,1.0,Roy Hibbert,14.0,5.0,2.0,Jordan Clarkson,16.0,7.0,7.0,D'Angelo Russell,39.0,6.0,3.0,Lou Williams,6.0,0.0,0.0,Bojan Bogdanovic,18.0,7.0,3.0,Thaddeus Young,19.0,15.0,2.0,Brook Lopez,23.0,7.0,4.0,Wayne Ellington,10.0,0.0,1.0,Donald Sloan,11.0,2.0,6.0,Shane Larkin,6.0,1.0,4.0
2016-02-26,LAL vs. MEM,21500868,L,Anthony Brown,5.0,5.0,2.0,Julius Randle,17.0,7.0,0.0,Roy Hibbert,4.0,1.0,0.0,Jordan Clarkson,8.0,2.0,2.0,D'Angelo Russell,22.0,3.0,3.0,Lou Williams,13.0,1.0,3.0,Matt Barnes,0.0,7.0,3.0,Brandan Wright,8.0,5.0,0.0,Zach Randolph,15.0,10.0,5.0,PJ Hairston,21.0,4.0,0.0,Mike Conley,17.0,1.0,7.0,Mario Chalmers,4.0,2.0,4.0
2016-02-24,LAL @ MEM,21500851,L,Kobe Bryant,13.0,1.0,2.0,Julius Randle,11.0,14.0,0.0,Roy Hibbert,1.0,4.0,0.0,Jordan Clarkson,28.0,6.0,3.0,D'Angelo Russell,22.0,4.0,8.0,Lou Williams,22.0,3.0,1.0,Matt Barnes,25.0,8.0,2.0,JaMychal Green,12.0,9.0,0.0,Zach Randolph,14.0,9.0,3.0,PJ Hairston,17.0,2.0,2.0,Mike Conley,24.0,6.0,8.0,Mario Chalmers,4.0,1.0,6.0
